,Id,minutes_past,radardist_km,Ref,Ref_5x5_10th,Ref_5x5_50th,Ref_5x5_90th,RefComposite,RefComposite_5x5_10th,RefComposite_5x5_50th,RefComposite_5x5_90th,RhoHV,RhoHV_5x5_10th,RhoHV_5x5_50th,RhoHV_5x5_90th,Zdr,Zdr_5x5_10th,Zdr_5x5_50th,Zdr_5x5_90th,Kdp,Kdp_5x5_10th,Kdp_5x5_50th,Kdp_5x5_90th
0,1,3,10.0,,,,,,,,,,,,,,,,,,,,
1,1,16,10.0,,,,,,,,,,,,,,,,,,,,
2,1,25,10.0,,,,,,,,,,,,,,,,,,,,
3,1,35,10.0,,,,,,,,,,,,,,,,,,,,
4,1,45,10.0,,,,,,,,,,,,,,,,,,,,
5,1,55,10.0,,,,,,,,,,,,,,,,,,,,
6,2,1,2.0,9.0,5.0,7.5,10.5,15.0,10.5,16.5,23.5,0.99833333,0.99833333,0.99833333,0.99833333,0.375,-0.125,0.3125,0.875,1.0599976,-1.4100037,-0.3500061,1.0599976
7,2,6,2.0,26.5,22.5,25.5,31.5,26.5,26.5,28.5,32.0,1.0016667,0.9816667,0.99833333,1.005,0.0625,-0.1875,0.25,0.6875,,,,1.4099884
8,2,11,2.0,21.5,15.5,20.5,25.0,26.5,23.5,25.0,27.0,1.0016667,0.995,0.99833333,1.0016667,0.3125,-0.0625,0.3125,0.625,0.34999084,,-0.3500061,1.7599945
9,2,16,2.0,18.0,14.0,17.5,21.0,20.5,18.0,20.5,23.0,0.995,0.995,0.99833333,1.0016667,0.25,0.125,0.375,0.6875,0.34999084,-1.0599976,0.0,1.0599976
10,2,21,2.0,24.5,16.5,21.0,24.5,24.5,21.0,24.0,28.0,0.99833333,0.995,0.99833333,0.99833333,0.25,0.0625,0.1875,0.5625,-0.3500061,-1.0599976,-0.3500061,1.7599945
11,2,26,2.0,12.0,12.0,16.0,20.0,16.5,17.0,19.0,21.0,0.99833333,0.995,0.99833333,0.99833333,0.5625,0.25,0.4375,0.6875,-1.7600098,-1.7600098,-0.3500061,0.70999146
12,2,31,2.0,22.5,19.0,22.0,25.0,26.0,23.5,25.5,27.5,0.99833333,0.995,0.99833333,1.0016667,0.0,-0.1875,0.25,0.625,-1.0599976,-2.1200104,-0.7100067,0.34999084
13,2,37,2.0,14.0,14.0,18.5,21.0,19.5,20.0,21.0,23.0,0.99833333,0.9916667,0.99833333,0.99833333,0.5,0.1875,0.4375,0.8125,0.0,-1.7600098,-0.3500061,1.0599976
14,2,42,2.0,12.0,11.0,12.5,17.0,19.5,18.0,21.0,23.0,0.99833333,0.995,0.99833333,0.99833333,0.625,0.375,0.625,0.875,-0.3500061,-0.3500061,0.0,0.34999084
15,2,47,2.0,1.5,3.5,7.0,10.5,18.0,16.5,18.5,21.5,0.99833333,0.995,0.99833333,0.99833333,0.375,0.1875,0.5,0.6875,0.34999084,-2.1100006,-0.3500061,1.0599976
16,2,53,2.0,16.0,14.5,18.0,23.5,28.0,23.5,26.5,29.5,0.99833333,0.9916667,0.99833333,0.99833333,0.875,0.625,0.9375,1.375,-0.3500061,-1.4100037,-0.3500061,2.119995
17,2,58,2.0,22.0,16.5,22.5,26.5,31.5,26.5,29.0,32.0,0.99833333,0.995,0.99833333,1.0016667,0.375,0.1875,0.375,0.875,-1.4100037,,-0.3500061,0.69999695
18,3,4,10.0,,,,,,,,,,,,,,,,,,,,
19,3,9,10.0,,,,,,,,,,,,,,,,,,,,
20,3,14,10.0,,,,,,,,,,,,,,,,,,,,
21,3,18,10.0,,,,,,,,,,,,,,,,,,,,
22,3,23,10.0,,,,,,,,,,,,,,,,,,,,
23,3,28,10.0,,,,,,,,,,,,,,,,,,,,
24,3,33,10.0,,,,,,,,,,,,,,,,,,,,
